id,party,score
29,เพื่อไทย,39373
31,ก้าวไกล,32027
22,รวมไทยสร้างชาติ,8721
37,พลังประชารัฐ,3156
3,เป็นธรรม,2249
4,ท้องที่ไทย,2223
7,ภูมิใจไทย,921
26,ประชาธิปัตย์,600
1,ใหม่,543
36,เพื่อชาติไทย,480
25,เสรีรวมไทย,462
14,ชาติพัฒนากล้า,446
24,เพื่อชาติ,325
38,เพื่อไทรวมพลัง,322
32,ไทยสร้างไทย,288
28,ไทยพร้อม,266
63,ประชากรไทย,259
30,ทางเลือกใหม่,242
23,รวมใจไทย,235
2,ประชาธิปไตยใหม่,216
5,พลังสังคมใหม่,187
12,ไทยรวมไทย,184
21,ไทยภักดี,163
9,พลัง,160
18,ชาติไทยพัฒนา,153
19,ภาคีเครือข่ายไทย,151
20,เปลี่ยน,143
57,พลังเพื่อไทย,130
56,ประชาไทย,121
6,ครูไทยเพื่อประชาชน,103
27,พลังธรรมใหม่,96
13,ไทยชนะ,94
10,อนาคตไทย,90
39,มิติใหม่,86
55,ไทยก้าวหน้า,85
8,แรงงานสร้างชาติ,72
11,ประชาชาติ,68
35,รวมพลัง,67
65,เปลี่ยนอนาคต,61
15,กรีน,58